"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2024-06-15 00:45:13","569158252","JUPUSDT","Market","BUY","0E-10","5.7000000000JUP","2024-06-15 00:45:13","5.7000000000JUP","0.87550000","4.9903500000USDT","FILLED"
"2024-06-15 00:43:01","337946314","PYTHUSDT","Market","BUY","0E-10","19.6000000000PYTH","2024-06-15 00:43:01","19.6000000000PYTH","0.35610000","6.9795600000USDT","FILLED"
"2024-06-15 00:39:59","1423424190","INJUSDT","Market","BUY","0E-10","0.3800000000INJ","2024-06-15 00:39:59","0.3800000000INJ","26.12000000","9.9256000000USDT","FILLED"
"2024-06-15 00:34:03","5292443148","LINKUSDT","Market","BUY","0E-10","0.3300000000LINK","2024-06-15 00:34:03","0.3300000000LINK","14.84700000","4.8995100000USDT","FILLED"
"2024-06-15 00:33:09","5292440865","LINKUSDT","Market","BUY","0E-10","0.3300000000LINK","2024-06-15 00:33:09","0.3300000000LINK","14.81600000","4.8892800000USDT","FILLED"
"2024-06-15 00:30:19","1097228058","ANKRUSDT","Market","BUY","0E-10","316.2000000000ANKR","2024-06-15 00:30:19","316.2000000000ANKR","0.03478000","10.9974360000USDT","FILLED"
"2024-06-15 00:25:33","234760261","GLMUSDT","Market","BUY","0E-10","26.4000000000GLM","2024-06-15 00:25:33","26.4000000000GLM","0.41550000","10.9692000000USDT","FILLED"
"2024-06-15 00:15:50","1401635274","JASMYUSDT","Market","BUY","0E-10","210.6000000000JASMY","2024-06-15 00:15:50","210.6000000000JASMY","0.03323600","6.9995016000USDT","FILLED"
"2024-06-15 00:13:48","107093368","TAOUSDT","Market","BUY","0E-10","0.0165000000TAO","2024-06-15 00:13:48","0.0165000000TAO","301.50000000","4.9747500000USDT","FILLED"
"2024-06-15 00:10:25","1257494606","RNDRUSDT","Market","BUY","0E-10","0.8800000000RNDR","2024-06-15 00:10:25","0.8800000000RNDR","7.89500000","6.9476000000USDT","FILLED"
"2024-06-15 00:07:21","1398507248","OPUSDT","Market","BUY","0E-10","3.4800000000OP","2024-06-15 00:07:21","3.4800000000OP","2.00800000","6.9878400000USDT","FILLED"
"2024-06-15 00:03:53","1432906682","STXUSDT","Market","BUY","0E-10","2.5000000000STX","2024-06-15 00:03:53","2.5000000000STX","1.92600000","4.8150000000USDT","FILLED"
"2024-06-14 23:58:37","3886593482","MATICUSDT","Market","BUY","0E-10","16.9000000000MATIC","2024-06-14 23:58:37","16.9000000000MATIC","0.59160000","9.9980400000USDT","FILLED"
"2024-06-14 23:50:19","601551301","OMUSDT","Market","BUY","0E-10","26.0000000000OM","2024-06-14 23:50:19","26.0000000000OM","0.76560000","19.9056000000USDT","FILLED"
"2024-06-14 23:45:12","6373731266","SOLUSDT","Market","BUY","0E-10","0.1530000000SOL","2024-06-14 23:45:12","0.1530000000SOL","143.16000000","21.9034800000USDT","FILLED"
"2024-06-14 23:33:10","18126291902","ETHUSDT","Market","BUY","0E-10","0.0114000000ETH","2024-06-14 23:33:10","0.0114000000ETH","3486.63000000","39.7475820000USDT","FILLED"
"2024-06-14 23:28:35","18126264741","ETHUSDT","Limit","SELL","3483.8400000000","0.0108000000ETH","2024-06-14 23:29:18","0.0108000000ETH","3483.84000000","37.6254720000USDT","FILLED"
"2024-06-11 21:34:28","1063207761","PEPEUSDT","Market","BUY","0E-10","356379.0000000000PEPE","2024-06-11 21:34:28","356379.0000000000PEPE","0.00001279","4.5580874100USDT","FILLED"
